Address,Name,Date,Latitude,Longitude,CensusBlock,CensusBlockGroup,CensusTract,ISGAS,ISLIQUOR,ISFAST
20270 Grand River Ave,Grand River Pharmacy,2/28/17,42.40997,-83.24067,1038,1,5432,0,0,0
12501 Linwood St,Linwood Discount Liquor,2/27/17,42.38786,-83.1188,2005,2,5315,0,1,0
3435 Second Ave,Grocer Farm Market,2/21/17,42.34376,-83.06282,1000,1,5225,0,0,0
7250 W Lafayette Blvd,Bee Be's Market,2/20/17,42.30513,-83.11539,1001,1,5238,0,0,0
11191 Grand River Ave,Old Grand Market,2/20/17,42.37455,-83.15409,1001,1,5343,0,0,0
19664 Woodward Ave,Soft Cloth Car Wash,2/16/17,42.43777,-83.11837,2011,2,5080,0,0,0
20131 Grand River Ave,Soft Cloth Car Wash,2/15/17,42.40883,-83.23928,3002,3,5432,0,0,0
19115 Plymouth Rd,Soft Cloth Car Wash,2/14/17,42.37176,-83.2281,3000,3,5468,0,0,0
20324 W McNichols Rd,Soft Cloth Car Wash,2/13/17,42.41535,-83.24173,5006,5,5411,0,0,0
1131 W Warren Ave,University Foods,2/9/17,42.35336,-83.07449,2006,2,5219,0,0,0
14545 Plymouth Rd,Zoom,2/8/17,42.37258,-83.187,1003,1,5353,0,0,0
14421 Plymouth Rd,Club Celebrity,1/31/17,42.37262,-83.18581,1002,1,5353,0,0,0
18330 W Chicago Blvd,Seaway Market Place,1/31/17,42.36506,-83.21946,2004,2,5468,0,0,0
21756 Grand River Ave,City Liquor Shoppe,1/26/17,42.41677,-83.25742,3005,3,5412,0,1,0
10200 Rosa Parks Blvd,Clark,1/26/17,42.3825,-83.10319,2024,2,5319,0,0,0
11030 Morang Ave,Clark,1/23/17,42.42321,-82.94197,2011,2,5008,0,0,0
7945 Charlevoix St,Janes Market,1/23/17,42.36266,-83.00364,2018,2,5152,0,0,0
18300 Morang Ave,Citgo,1/19/17,42.42972,-82.95739,1019,1,5006,1,0,0
12750 Schaefer Hwy,Sunoco,1/19/17,42.38097,-83.17821,4021,4,5352,1,0,0
8059 Grand River Ave,New Quick Stop Market,1/17/17,42.35963,-83.11713,2007,2,5334,0,0,0
1001 E Warren Ave,Mobil,1/5/17,42.36167,-83.05359,1011,1,9859,1,0,0
8139 E 7 Mile Rd,7 Mile Food,1/4/17,42.43407,-83.02168,3009,3,5051,0,0,0
19900 Conant St,Pelzer's Party Shoppe,1/3/17,42.44083,-83.07899,2004,2,5068,0,1,0
15801 W McNichols Rd,Summit Medical Center,12/29/16,42.41565,-83.20231,1002,1,5421,0,0,0
