Company Name,Address,City,State,ZIP Code,Primary SIC Code,Primary SIC Description
SUBWAY,4201 Saint Antoine St # 2a1,Detroit,MI,48201,581208,Restaurants
SUBWAY,4276 W Fort St,Detroit,MI,48209,581208,Restaurants
SUBWAY,4930 Livernois Ave,Detroit,MI,48210,581208,Restaurants
SUBWAY,500 E Warren Ave,Detroit,MI,48201,581208,Restaurants
SUBWAY,5996 Woodward Ave,Detroit,MI,48202,581208,Restaurants
SUBWAY,6166 W Vernor Hwy,Detroit,MI,48209,581208,Restaurants
SUBWAY,655 W Kirby St,Detroit,MI,48202,581208,Restaurants
SUBWAY,660 Woodward Ave # 11,Detroit,MI,48226,581208,Restaurants
SUBWAY,6781 Greenfield Rd,Detroit,MI,48228,581208,Restaurants
SUBWAY,7300 Michigan Ave,Detroit,MI,48210,581208,Restaurants
SUBWAY,7431 W Vernor Hwy # 2,Detroit,MI,48209,581208,Restaurants
SUBWAY,7950 W Outer Dr,Detroit,MI,48235,581208,Restaurants
SUBWAY,8200 W Outer Dr,Detroit,MI,48219,581208,Restaurants
SUBWAY,8930 W Mcnichols Rd,Detroit,MI,48221,581208,Restaurants
SUBWAY,9320 Woodward Ave,Detroit,MI,48202,581208,Restaurants
SUBWAY,9600 Livernois Ave,Detroit,MI,48204,581208,Restaurants
SUBWAY,9655 Gratiot Ave,Detroit,MI,48213,581208,Restaurants
Taco Bell,14000 Livernois Ave,Detroit,MI,48238,581208,Restaurants
Taco Bell,15624 W Mcnichols Rd,Detroit,MI,48235,581208,Restaurants
Tamaleria Nuevo Leon,2669 W Vernor Hwy,Detroit,MI,48216,581208,Restaurants
TGI Friday's,1 Detroit Metro Airport # N-18,Detroit,MI,48242,581208,Restaurants
Tubby's Grilled Submarines,17195 Harper Ave,Detroit,MI,48224,581208,Restaurants
Tubby's Grilled Submarines,20325 W 8 Mile Rd,Detroit,MI,48219,581208,Restaurants
Tubby's Grilled Submarines,3250 E Jefferson Ave,Detroit,MI,48207,581208,Restaurants
Tubby's Grilled Submarines,5015 Livernois Ave,Detroit,MI,48210,581208,Restaurants
Wendy's,12550 Gratiot Ave,Detroit,MI,48205,581208,Restaurants
Wendy's,14001 Livernois Ave,Detroit,MI,48238,581208,Restaurants
Wendy's,14401 W 7 Mile Rd,Detroit,MI,48235,581208,Restaurants
Wendy's,17010 Harper Ave,Detroit,MI,48224,581208,Restaurants
Wendy's,17420 Grand River Ave,Detroit,MI,48227,581208,Restaurants
Wendy's,18430 Ford Rd,Detroit,MI,48228,581208,Restaurants
Wendy's,19100 Kelly Rd,Detroit,MI,48224,581208,Restaurants
Wendy's,22222 Grand River Ave,Detroit,MI,48219,581208,Restaurants
Wendy's,2506 Worldgateway Pl,Detroit,MI,48242,581208,Restaurants
Wendy's,3990 John R St,Detroit,MI,48201,581208,Restaurants
Wendy's,4749 Conner St,Detroit,MI,48215,581208,Restaurants
Wendy's,6601 E Jefferson Ave,Detroit,MI,48207,581208,Restaurants
Wendy's,7850 Gratiot Ave,Detroit,MI,48213,581208,Restaurants
Wendy's,9768 Grand River Ave,Detroit,MI,48204,581208,Restaurants
Which WICH Superior Sandwiches,645 Griswold St,Detroit,MI,48226,581208,Restaurants
White Castle,10500 Gratiot Ave,Detroit,MI,48213,581208,Restaurants
White Castle,15365 Wyoming St,Detroit,MI,48238,581208,Restaurants
White Castle,16737 Harper Ave,Detroit,MI,48224,581208,Restaurants
White Castle,17739 Grand River Ave,Detroit,MI,48227,581208,Restaurants
White Castle,1960 Michigan Ave,Detroit,MI,48216,581208,Restaurants
White Castle,20409 James Couzens Fwy,Detroit,MI,48235,581208,Restaurants
White Castle,2735 W Davison,Detroit,MI,48238,581208,Restaurants
White Castle,6301 W Warren Ave,Detroit,MI,48210,581208,Restaurants
White Castle,6364 Woodward Ave,Detroit,MI,48202,581208,Restaurants
White Castle,8811 Greenfield Rd,Detroit,MI,48228,581208,Restaurants
Wing Street,15610 E 8 Mile Rd,Detroit,MI,48205,581208,Restaurants
Wingstop,1331 W 8 Mile Rd,Detroit,MI,48203,581208,Restaurants
Zoup! Fresh Soup Co,200 Renaissance Ctr # 2012,Detroit,MI,48243,581208,Restaurants
