CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
Thrifty Liquor Plus,3300 Joy Rd,Detroit,MI,48206,592102,Liquors-Retail,42.3713332,-83.1151285
Tiger Liquor,10832 Puritan St,Detroit,MI,48238,592102,Liquors-Retail,42.4097932,-83.1694288
Trade Fair Market,3406 Fenkell St,Detroit,MI,48238,592102,Liquors-Retail,42.40288935,-83.13438585
United Party Shoppe,22040 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail,42.42911593,-83.25883691
Universal Liquor & Wine,19526 Grand River Ave,Detroit,MI,48223,592102,Liquors-Retail,42.40684969,-83.23334203
University Village Market,4700 Anthony Wayne Dr,Detroit,MI,48201,592102,Liquors-Retail,42.35239636,-83.06982113
Uptown Food & Liquor,18201 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail,42.42989772,-83.22050163
Van Dyke Market,6455 Van Dyke St,Detroit,MI,48213,592102,Liquors-Retail,42.38742429,-83.0211157
Vandyke Liquor,6455 Van Dyke St,Detroit,MI,48213,592102,Liquors-Retail,42.38742429,-83.0211157
Vanity Liquor Shop,20516 Schaefer Hwy,Detroit,MI,48235,592102,Liquors-Retail,42.4443279,-83.1803704
Vaughan Liquor Inc,20050 W Warren Ave,Detroit,MI,48228,592102,Liquors-Retail,42.3433728,-83.2364772
Vegas Liquor & Wine Shop,8024 Greenfield Rd,Detroit,MI,48228,592102,Liquors-Retail,42.3511989,-83.1962314
Vernor Express Liquor Store,3855 W Vernor Hwy,Detroit,MI,48216,592102,Liquors-Retail,42.3221367,-83.0902052
Vernor Liquor Inc,5878 W Vernor Hwy,Detroit,MI,48209,592102,Liquors-Retail,42.3166768,-83.1053059
Victory Liquor & Food Store,16200 W Warren Ave,Detroit,MI,48228,592102,Liquors-Retail,42.34365995,-83.20364825
Village Liquor & Deli,14241 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail,42.4162545,-83.1859567
Village Liquor Shoppe,19024 Grand River Ave,Detroit,MI,48223,592102,Liquors-Retail,42.40484976,-83.228362
Vince's Food Ctr Inc,2601 E Mcnichols Rd,Detroit,MI,48212,592102,Liquors-Retail,42.4188171,-83.0756876
VIP Liquor,14050 Joseph Campau St,Detroit,MI,48212,592102,Liquors-Retail,42.418431,-83.0721508
Von's Express,7350 Grand River Ave,Detroit,MI,48204,592102,Liquors-Retail,42.35745601,-83.11079969
Von's Market,14918 Greenfield Rd,Detroit,MI,48227,592102,Liquors-Retail,42.3982614,-83.198178
Vsop Liquor,10715 W 8 Mile Rd,Detroit,MI,48221,592102,Liquors-Retail,42.44533341,-83.1699919
Western Liquor Store,12820 Plymouth Rd,Detroit,MI,48227,592102,Liquors-Retail,42.37328715,-83.16963982
Whiskey Whiskey,1000 Maple St,Detroit,MI,48207,592102,Liquors-Retail,42.3407655,-83.039789
Wine Basket Party Shop,16450 E Warren Ave,Detroit,MI,48224,592102,Liquors-Retail,42.4032453,-82.9366349
Winthrop & Six Market,15619 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail,42.4156409,-83.2010682
Wood's Liquor Shop,16146 Plymouth Rd,Detroit,MI,48227,592102,Liquors-Retail,42.37256738,-83.20412935
Woodmere Party Store,9210 W Fort St,Detroit,MI,48209,592102,Liquors-Retail,42.29651849,-83.1290105
Yaldo Party Store,15500 E Warren Ave,Detroit,MI,48224,592102,Liquors-Retail,42.3989486,-82.9483353
