CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
Cornerstone Schools,6861 E Nevada St # 3,Detroit,MI,48234,835102,Schools-Nursery & Kindergarten Academic,42.4284134,-83.030153
Covenant House Academy-Sw,1450 25th St,Detroit,MI,48216,821103,Schools,42.3204793,-83.0854136
Crockett Career & Technical,571 Mack Ave,Detroit,MI,48201,821103,Schools,42.35022034,-83.05123993
David Eliss Academy,18977 Schaefer Hwy,Detroit,MI,48235,821103,Schools,42.42997171,-83.18053533
Denby High School,12800 Kelly Rd,Detroit,MI,48224,821103,Schools,42.4266558,-82.9569515
Detroit Academy Of Arts,2985 E Jefferson Ave,Detroit,MI,48207,821103,Schools,42.3405049,-83.0184855
Detroit Achievement Academy,7000 W Outer Dr,Detroit,MI,48235,821103,Schools,42.4200713,-83.2008353
Detroit Area Pre-Clg Engrng,2111 Woodward Ave,Detroit,MI,48201,839998,Non-Profit Organizations,42.3376844,-83.05145955
Detroit Board Of Education,7322 2nd Ave # 485,Detroit,MI,48202,821103,Schools,42.36947768,-83.0764214
Detroit Capstone Academy,3500 John R St,Detroit,MI,48201,821103,Schools,42.34745214,-83.05515878
Detroit Christian Sch-Excllnc,19370 Greenfield Rd,Detroit,MI,48235,821103,Schools,42.4336642,-83.1989928
Detroit City School District,3011 W Grand Blvd # 11,Detroit,MI,48202,821120,School Districts,42.36906134,-83.07709883
Detroit Collegiate Prep Hs-Nw,2200 W Grand Blvd,Detroit,MI,48208,821103,Schools,42.35925521,-83.10221726
Detroit Community High School,12675 Burt Rd,Detroit,MI,48223,821103,Schools,42.37984121,-83.24652249
Detroit Cristo Rey High Sch,5679 W Vernor Hwy,Detroit,MI,48209,824402,Schools-Business & Secretarial,42.3168979,-83.1028134
Detroit Edison Public Sch Acad,1903 Wilkins St,Detroit,MI,48207,821103,Schools,42.3515756,-83.0376024
Detroit Enterprise Academies,11224 Kercheval St,Detroit,MI,48214,821103,Schools,42.3685361,-82.9729388
Detroit Innovation Academy,18211 Plymouth Rd,Detroit,MI,48228,821103,Schools,42.3709643,-83.2180823
Detroit International Acad,9026 Woodward Ave,Detroit,MI,48202,821103,Schools,42.3827709,-83.0795323
Detroit Leadership Academy,13550 Virgil St,Detroit,MI,48223,821103,Schools,42.3842312,-83.2698982
Detroit Leadership Academy,5845 Auburn St,Detroit,MI,48228,821103,Schools,42.33118856,-83.23256075
Detroit Merit Charter Academy,1091 Alter Rd,Detroit,MI,48215,821103,Schools,42.375846,-82.9407865
Detroit Premier Academy,7781 Asbury Park,Detroit,MI,48228,821103,Schools,42.34895482,-83.20597902
Detroit Pub Schools Cmnty Dst,22601 Pembroke Ave,Detroit,MI,48219,821103,Schools,42.4359795,-83.2664617
Detroit Public Safety Academy,1250 Rosa Parks Blvd,Detroit,MI,48216,821103,Schools,42.3251236,-83.0674193
Detroit Public Sch Cmnty Dist,3011 W Grand Blvd # 14,Detroit,MI,48202,821120,School Districts,42.36906134,-83.07709883
Detroit Public Sch Golightly,900 Dickerson St,Detroit,MI,48215,821103,Schools,42.369656,-82.951696
Detroit Public Sch-Guidance,2750 Selden St,Detroit,MI,48208,821103,Schools,42.3406995,-83.0898701
Detroit Public School,1091 Hibbard St,Detroit,MI,48214,821103,Schools,42.357918,-82.9884797
Detroit Public School,19625 Elmira St,Detroit,MI,48228,821103,Schools,42.36942498,-83.23435916
Detroit Public School,3030 Fairview St,Detroit,MI,48214,821103,Schools,42.3750828,-82.9779514
Detroit Public School,6145 Canyon St,Detroit,MI,48236,821103,Schools,42.42071687,-82.92402603
Detroit Public School District,2200 W Grand Blvd,Detroit,MI,48208,821120,School Districts,42.35925521,-83.10221726
Detroit Public Schools,16148 Normandy St,Detroit,MI,48221,821103,Schools,42.4109324,-83.1263122
Detroit Public Schools,16661 Greenlawn St,Detroit,MI,48221,821103,Schools,42.4155734,-83.1519662
Detroit Public Schools,17210 Cambridge Ave,Detroit,MI,48235,821103,Schools,42.43207937,-83.21308231
Detroit Public Schools,3200 E Lafayette St,Detroit,MI,48207,821103,Schools,42.344197,-83.0145933
Detroit Public Schools,3700 Pulford St,Detroit,MI,48207,821103,Schools,42.3610639,-83.0233911
Detroit Public Schools,7321 2nd Ave # 14,Detroit,MI,48202,821103,Schools,42.36941421,-83.0765961
Detroit Public Schools,8030 E Outer Dr,Detroit,MI,48213,821103,Schools,42.40611713,-82.99586551
Detroit Public Schools Admin,7430 2nd Ave # 425,Detroit,MI,48202,821103,Schools,42.3709959,-83.0769863
Detroit Recovery Project,1121 E Mcnichols Rd,Detroit,MI,48203,839901,Drug Abuse & Addiction Info & Treatment,42.4184629,-83.0920122
Detroit School For The Deaf,4555 John C Lodge Fwy,Detroit,MI,48201,821103,Schools,42.35068511,-83.07188504
Detroit School Of Arts,,Detroit,MI,48226,821103,Schools,42.33154178,-83.05026654
Detroit School Of Arts,123 Selden St,Detroit,MI,48201,821103,Schools,42.3491226,-83.06022528
Detroit Service Learning Acad,21605 W 7 Mile Rd,Detroit,MI,48219,821103,Schools,42.42907977,-83.25599407
Detroit Training Ctr Inc,277 Gratiot Ave # 400,Detroit,MI,48226,821103,Schools,42.33457839,-83.04583274
