CompanyName,Address,City,State,Zip,PrimarySICCode,PrimarySICDescription,SICCode1,SICCode1Description,Latitude,Longitude,CensusBlock,CensusBlockGroup,CensusTract
Cornerstone Barrel House,1456 Woodward Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3350267,-83.0489693,2054,2,5172
Cutters Bar & Grill,2638 Orleans St,Detroit,MI,48207,581208,Restaurants,581208,Restaurants,42.3483542,-83.037725,1076,1,5189
D Hill Enterprises LLC,7741 Grand River Ave,Detroit,MI,48204,581301,Bars,581301,Bars,42.35890372,-83.11489268,2016,2,5334
Delux Lounge,350 Monroe St,Detroit,MI,48226,581303,Cocktail Lounges,581303,Cocktail Lounges,42.33411959,-83.04422786,1038,1,5172
Detroit City Distillery LLC,2462 Riopelle St,Detroit,MI,48207,518205,Distillery Equipment & Supplies (Whls),518205,Distillery Equipment & Supplies (Whls),42.3463419,-83.0381245,1079,1,5189
Detroit Recovery Project,1145 W Grand Blvd,Detroit,MI,48208,808201,Home Health Service,808201,Home Health Service,42.3345634,-83.1014001,1012,1,5255
Detroit Sapphire,19211 Van Dyke St,Detroit,MI,48234,581301,Bars,581301,Bars,42.4350413,-83.024646,1015,1,5062
Detroit Sport & Social Club,2631 Woodward Ave,Detroit,MI,48201,581301,Bars,581301,Bars,42.3417245,-83.0546332,3006,3,5225
Detroiter Bar,655 Beaubien St,Detroit,MI,48226,581301,Bars,581301,Bars,42.33272342,-83.04125159,1044,1,5172
District,150 W Jefferson Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3284408,-83.0465901,1049,1,5208
Donovan's Pub,3003 W Vernor Hwy,Detroit,MI,48216,581208,Restaurants,581208,Restaurants,42.3253551,-83.0823995,1009,1,5211
Dudes & Davis,18325 W Mcnichols Rd,Detroit,MI,48219,581301,Bars,581301,Bars,42.4152039,-83.2220629,2003,2,5431
El Capri Bar,1673 E Grand Blvd,Detroit,MI,48211,581301,Bars,581301,Bars,42.3766122,-83.0309622,2033,2,5161
Elwood Bar & Grill,300 E Adams Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3385373,-83.0467406,2014,2,5172
Epic Detroit,408 W Congress St,Detroit,MI,48226,581301,Bars,581301,Bars,42.32842882,-83.05015869,1054,1,5208
Evolution,1314 Broadway St,Detroit,MI,48226,581301,Bars,581301,Bars,42.33486889,-83.0458055,2058,2,5172
Feelgood Tap,1400 Porter St,Detroit,MI,48216,581301,Bars,581301,Bars,42.32848504,-83.06311072,1105,1,5214
Fire Water Bar & Grill,16801 Harper Ave,Detroit,MI,48224,581208,Restaurants,581208,Restaurants,42.4149609,-82.9394834,4005,4,5014
Firebird Tavern,419 Monroe St,Detroit,MI,48226,581301,Bars,581301,Bars,42.3347993,-83.0433382,1033,1,5172
Firewater Bar & Grill,6521 John R St,Detroit,MI,48202,581208,Restaurants,581208,Restaurants,42.36991985,-83.07043583,1027,1,5119
Flood's Bar & Grill,731 Saint Antoine St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.33154178,-83.05026654,1003,1,5208
Friends Cocktail Lounge,21633 W 8 Mile Rd,Detroit,MI,48219,581303,Cocktail Lounges,581303,Cocktail Lounges,42.44319077,-83.25699432,2007,2,5409
Gibson Food Market & Lounge,12918 Puritan St,Detroit,MI,48227,514101,Food Products (Whls),514101,Food Products (Whls),42.4097114,-83.1723064,3015,3,5369
Gigi's,16920 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,42.343769,-83.2112654,4005,4,5455
Giordano's,1224 Randolph St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3344704,-83.0446249,1034,1,5172
Gold Coast Club,2971 E 7 Mile Rd,Detroit,MI,48234,581301,Bars,581301,Bars,42.43119761,-83.03950335,1009,1,5065
Grand Trunk Pub,612 Woodward Ave,Detroit,MI,48226,581301,Bars,581301,Bars,42.3306295,-83.04552,1068,1,5172
Granite City Food & Brewery,100 Renaissance Ctr # 1101,Detroit,MI,48243,581208,Restaurants,581208,Restaurants,42.32948284,-83.04117049,1085,1,5172
Green Dot Stables,2200 W Lafayette Blvd,Detroit,MI,48216,581301,Bars,581301,Bars,42.3218665,-83.0716086,1010,1,9853
Greenwich Times,130 Cadillac Sq,Detroit,MI,48226,581301,Bars,581301,Bars,42.3312052,-83.043794,1067,1,5172
Happy Bar,1247 N Green St,Detroit,MI,48209,651202,Office Buildings & Parks,651202,Office Buildings & Parks,42.30632555,-83.11597627,1001,1,5238
Hard Rock Cafe,45 Monroe St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.33222411,-83.04631721,1046,1,5172
Harry's Detroit,2482 Clifford St,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,42.3393164,-83.0562854,3010,3,5225
